disease name,lncRNA name,score,Rank
nervous system disease,SPRY4-IT1,0.784,14
nervous system disease,WT1-AS,0.784,15
nervous system disease,ESRG,0.78,16
nervous system disease,CCAT1,0.76,17
nervous system disease,MIR17HG,0.752,18
nervous system disease,LINC00271,0.746,19
nervous system disease,HNF1A-AS1,0.746,20
nervous system disease,DAOA-AS1,0.74,21
nervous system disease,HCP5,0.734,22
nervous system disease,IGF2-AS,0.73,23
nervous system disease,LINCMD1,0.69,24
nervous system disease,HCG9,0.686,25
nervous system disease,MCHR2-AS1,0.672,26
nervous system disease,LSINCT5,0.67,27
nervous system disease,DISC2,0.67,28
nervous system disease,PCA3,0.668,29
nervous system disease,PCAT1,0.652,30
tongue cancer,XIST,0.582,1
tongue cancer,ATXN8OS,0.512,2
tongue cancer,MIR100HG,0.398,3
tongue cancer,LINCMD1,0.394,4
tongue cancer,DANCR,0.372,5
tongue cancer,THRIL,0.37,6
tongue cancer,PISRT1,0.368,7
tongue cancer,CDKN2A-AS1,0.366,8
tongue cancer,DISC2,0.364,9
tongue cancer,IFNG-AS1,0.35,10
tongue cancer,MIAT,0.346,11
tongue cancer,GSTT1-AS1,0.346,12
tongue cancer,PCA3,0.344,13
tongue cancer,ESRG,0.338,14
tongue cancer,MIF-AS1,0.338,15
tongue cancer,LINC01080,0.33,16
tongue cancer,TP53COR1,0.31,17
tongue cancer,CDKN2B-AS1,0.31,18
tongue cancer,PVT1,0.308,19
tongue cancer,TP53TG1,0.304,20
tongue cancer,AFAP1-AS1,0.302,21
tongue cancer,IL12A-AS1,0.3,22
tongue cancer,LINC00299,0.296,23
tongue cancer,LINC00163,0.286,24
tongue cancer,DLEU2,0.282,25
tongue cancer,PWAR4,0.272,26
tongue cancer,MCHR2-AS1,0.272,27
tongue cancer,H19,0.272,28
tongue cancer,DAOA-AS1,0.272,29
tongue cancer,HAR1A,0.268,30
vasculitis,THRIL,0.568,1
vasculitis,MIF-AS1,0.55,2
vasculitis,GSTT1-AS1,0.502,3
vasculitis,GNAS-AS1,0.428,4
vasculitis,LINC00163,0.408,5
vasculitis,TP53TG1,0.394,6
vasculitis,NRON,0.39,7
vasculitis,LINC00299,0.356,8
vasculitis,PCA3,0.332,9
vasculitis,LINC00474,0.328,10
vasculitis,LINCMD1,0.318,11
vasculitis,DANCR,0.314,12
vasculitis,ATXN8OS,0.314,13
vasculitis,XIST,0.312,14
vasculitis,IFNG-AS1,0.31,15
vasculitis,PWAR4,0.31,16
vasculitis,ESRG,0.308,17
vasculitis,PISRT1,0.296,18
vasculitis,DLEU2,0.294,19
vasculitis,CDKN2B-AS1,0.284,20
vasculitis,H19,0.272,21
vasculitis,CDKN2A-AS1,0.268,22
vasculitis,TP53COR1,0.256,23
vasculitis,LINC01080,0.248,24
vasculitis,SNHG11,0.248,25
vasculitis,DAOA-AS1,0.248,26
vasculitis,HYMAI,0.246,27
vasculitis,AFAP1-AS1,0.242,28
vasculitis,LINC01556,0.242,29
vasculitis,CCDC26,0.24,30
myeloid leukemia,MALAT1,0.998,1
myeloid leukemia,CDKN2B-AS1,0.972,2
myeloid leukemia,GAS5,0.944,3
myeloid leukemia,XIST,0.942,4
myeloid leukemia,TUG1,0.902,5
myeloid leukemia,KCNQ1OT1,0.892,6
myeloid leukemia,CCAT2,0.876,7
myeloid leukemia,TP53COR1,0.874,8
myeloid leukemia,MIR155HG,0.858,9
myeloid leukemia,BANCR,0.836,10
myeloid leukemia,SPRY4-IT1,0.834,11
myeloid leukemia,DLEU2,0.828,12
myeloid leukemia,BCYRN1,0.786,13
myeloid leukemia,TUSC7,0.762,14
myeloid leukemia,SNHG4,0.758,15
myeloid leukemia,HULC,0.744,16
myeloid leukemia,LSINCT5,0.66,17
myeloid leukemia,MIR17HG,0.65,18
myeloid leukemia,IGF2-AS,0.65,19
myeloid leukemia,HNF1A-AS1,0.642,20
myeloid leukemia,GHET1,0.642,21
myeloid leukemia,ESRG,0.64,22
myeloid leukemia,HOTTIP,0.62,23
myeloid leukemia,HCP5,0.604,24
myeloid leukemia,CRNDE,0.598,25
myeloid leukemia,NPTN-IT1,0.596,26
myeloid leukemia,LINC00675,0.594,27
myeloid leukemia,MIAT,0.588,28
myeloid leukemia,CDKN2A-AS1,0.566,29
myeloid leukemia,AFAP1-AS1,0.56,30
neurofibromatosis,H19,0.768,1
neurofibromatosis,MIR17HG,0.38,2
neurofibromatosis,MALAT1,0.366,3
neurofibromatosis,HOTAIR,0.354,4
neurofibromatosis,MEG3,0.314,5
neurofibromatosis,XIST,0.23,6
neurofibromatosis,KCNQ1OT1,0.218,7
neurofibromatosis,GAS5,0.208,8
neurofibromatosis,PCA3,0.202,9
neurofibromatosis,CCDC26,0.17,10
neurofibromatosis,DLEU2,0.154,11
neurofibromatosis,DANCR,0.148,12
neurofibromatosis,MIR100HG,0.134,13
neurofibromatosis,LINC00163,0.132,14
neurofibromatosis,HYMAI,0.126,15
neurofibromatosis,PVT1,0.124,16
neurofibromatosis,BCYRN1,0.118,17
neurofibromatosis,RMST,0.11,18
neurofibromatosis,HULC,0.104,19
neurofibromatosis,DISC2,0.104,20
neurofibromatosis,TP53COR1,0.096,21
neurofibromatosis,BANCR,0.096,22
neurofibromatosis,ESRG,0.094,23
neurofibromatosis,AFAP1-AS1,0.092,24
neurofibromatosis,GSTT1-AS1,0.092,25
neurofibromatosis,MIAT,0.09,26
neurofibromatosis,PCGEM1,0.08,27
neurofibromatosis,CDKN2A-AS1,0.08,28
neurofibromatosis,WT1-AS,0.08,29
neurofibromatosis,LINC01556,0.072,30
vascular dementia,ATXN8OS,0.37,1
vascular dementia,GSTT1-AS1,0.326,2
vascular dementia,LINC00163,0.304,3
vascular dementia,MIAT,0.304,4
vascular dementia,IL12A-AS1,0.296,5
vascular dementia,XIST,0.294,6
vascular dementia,THRIL,0.286,7
vascular dementia,DAOA-AS1,0.28,8
vascular dementia,IFNG-AS1,0.272,9
vascular dementia,PCA3,0.27,10
vascular dementia,DISC2,0.266,11
vascular dementia,MIF-AS1,0.262,12
vascular dementia,ESRG,0.258,13
vascular dementia,BCYRN1,0.244,14
vascular dementia,PISRT1,0.238,15
vascular dementia,GNAS-AS1,0.238,16
vascular dementia,LINC00299,0.238,17
vascular dementia,DANCR,0.236,18
vascular dementia,TP53COR1,0.228,19
vascular dementia,PWAR4,0.218,20
vascular dementia,LINC01080,0.216,21
vascular dementia,MCHR2-AS1,0.216,22
vascular dementia,AFAP1-AS1,0.208,23
vascular dementia,HAR1A,0.2,24
vascular dementia,DLEU2,0.19,25
vascular dementia,CCDC26,0.184,26
vascular dementia,NRON,0.174,27
vascular dementia,LINC00474,0.17,28
vascular dementia,TP53TG1,0.168,29
vascular dementia,LINC01556,0.166,30
contagious pustular dermatitis,XIST,0.622,1
contagious pustular dermatitis,LINCMD1,0.574,2
contagious pustular dermatitis,PISRT1,0.496,3
contagious pustular dermatitis,CDKN2A-AS1,0.458,4
contagious pustular dermatitis,BCYRN1,0.448,5
contagious pustular dermatitis,HCP5,0.436,6
contagious pustular dermatitis,THRIL,0.428,7
contagious pustular dermatitis,DANCR,0.424,8
contagious pustular dermatitis,MIAT,0.392,9
contagious pustular dermatitis,TP53COR1,0.388,10
contagious pustular dermatitis,PCA3,0.364,11
contagious pustular dermatitis,GSTT1-AS1,0.364,12
contagious pustular dermatitis,ESRG,0.356,13
contagious pustular dermatitis,DISC2,0.356,14
contagious pustular dermatitis,IFNG-AS1,0.35,15
contagious pustular dermatitis,AFAP1-AS1,0.344,16
contagious pustular dermatitis,MIF-AS1,0.344,17
contagious pustular dermatitis,IL12A-AS1,0.334,18
contagious pustular dermatitis,DAOA-AS1,0.328,19
contagious pustular dermatitis,KCNQ1OT1,0.324,20
contagious pustular dermatitis,MIR155HG,0.318,21
contagious pustular dermatitis,LINC01080,0.314,22
contagious pustular dermatitis,LINC00163,0.306,23
contagious pustular dermatitis,LINC00299,0.302,24
contagious pustular dermatitis,PVT1,0.294,25
contagious pustular dermatitis,HULC,0.28,26
contagious pustular dermatitis,TP53TG1,0.276,27
contagious pustular dermatitis,MIR100HG,0.274,28
contagious pustular dermatitis,DLEU2,0.268,29
contagious pustular dermatitis,PWAR4,0.258,30
salivary gland cancer,XIST,0.624,1
salivary gland cancer,ATXN8OS,0.568,2
salivary gland cancer,LINCMD1,0.422,3
salivary gland cancer,CDKN2A-AS1,0.396,4
salivary gland cancer,MIR100HG,0.388,5
salivary gland cancer,PISRT1,0.386,6
salivary gland cancer,DANCR,0.38,7
salivary gland cancer,DISC2,0.378,8
salivary gland cancer,ESRG,0.37,9
salivary gland cancer,THRIL,0.368,10
salivary gland cancer,TP53COR1,0.36,11
salivary gland cancer,MIAT,0.36,12
salivary gland cancer,PCA3,0.358,13
salivary gland cancer,CDKN2B-AS1,0.356,14
salivary gland cancer,GSTT1-AS1,0.352,15
salivary gland cancer,IFNG-AS1,0.348,16
salivary gland cancer,LINC01080,0.336,17
salivary gland cancer,MIF-AS1,0.33,18
salivary gland cancer,H19,0.328,19
salivary gland cancer,PVT1,0.324,20
salivary gland cancer,AFAP1-AS1,0.312,21
salivary gland cancer,HCP5,0.312,22
salivary gland cancer,IL12A-AS1,0.302,23
salivary gland cancer,MEG3,0.296,24
salivary gland cancer,KCNQ1OT1,0.292,25
salivary gland cancer,MIR17HG,0.288,26
salivary gland cancer,DLEU2,0.278,27
salivary gland cancer,DAOA-AS1,0.278,28
salivary gland cancer,HAR1A,0.276,29
salivary gland cancer,LINC00163,0.274,30
lupus erythematosus,MIR17HG,0.844,1
lupus erythematosus,CDKN2B-AS1,0.77,2
lupus erythematosus,PVT1,0.76,3
lupus erythematosus,HOTAIR,0.714,4
lupus erythematosus,MALAT1,0.714,5
lupus erythematosus,H19,0.712,6
lupus erythematosus,KCNQ1OT1,0.682,7
lupus erythematosus,MEG3,0.618,8
lupus erythematosus,ESRG,0.528,9
lupus erythematosus,MIR155HG,0.522,10
lupus erythematosus,NEAT1,0.484,11
lupus erythematosus,PCA3,0.462,12
lupus erythematosus,LINCMD1,0.434,13
lupus erythematosus,ATXN8OS,0.424,14
lupus erythematosus,TP53COR1,0.418,15
lupus erythematosus,AFAP1-AS1,0.418,16
lupus erythematosus,NRON,0.402,17
lupus erythematosus,THRIL,0.398,18
lupus erythematosus,HULC,0.388,19
lupus erythematosus,BANCR,0.374,20
lupus erythematosus,TUG1,0.356,21
lupus erythematosus,XIST,0.34,22
lupus erythematosus,DISC2,0.34,23
lupus erythematosus,GSTT1-AS1,0.326,24
lupus erythematosus,DANCR,0.316,25
lupus erythematosus,LINC00675,0.312,26
lupus erythematosus,MIF-AS1,0.276,27
lupus erythematosus,BCYRN1,0.27,28
lupus erythematosus,CDKN2A-AS1,0.26,29
lupus erythematosus,IGF2-AS,0.254,30
psoriasis,PVT1,0.792,1
psoriasis,GAS5,0.788,2
psoriasis,MIR17HG,0.764,3
psoriasis,CDKN2B-AS1,0.75,4
psoriasis,KCNQ1OT1,0.746,5
psoriasis,H19,0.718,6
psoriasis,MALAT1,0.706,7
psoriasis,MIR155HG,0.688,8
psoriasis,ESRG,0.68,9
psoriasis,NEAT1,0.674,10
psoriasis,TP53COR1,0.672,11
psoriasis,HOTAIR,0.66,12
psoriasis,MIAT,0.638,13
psoriasis,MEG3,0.632,14
psoriasis,XIST,0.63,15
psoriasis,NRON,0.604,16
psoriasis,ATXN8OS,0.598,17
psoriasis,LINCMD1,0.596,18
psoriasis,DISC2,0.558,19
psoriasis,PCA3,0.544,20
psoriasis,THRIL,0.532,21
psoriasis,AFAP1-AS1,0.526,22
psoriasis,HULC,0.516,23
psoriasis,TUG1,0.512,24
psoriasis,DANCR,0.504,25
psoriasis,BANCR,0.5,26
psoriasis,PISRT1,0.494,27
psoriasis,DLEU2,0.492,28
psoriasis,LINC00961,0.472,29
psoriasis,WT1-AS,0.464,30
skin melanoma,CDKN2B-AS1,0.72,1
skin melanoma,HOTAIR,0.41,2
skin melanoma,MEG3,0.344,3
skin melanoma,KCNQ1OT1,0.272,4
skin melanoma,MIR17HG,0.27,5
skin melanoma,MALAT1,0.26,6
skin melanoma,PVT1,0.228,7
skin melanoma,XIST,0.212,8
skin melanoma,PCA3,0.174,9
skin melanoma,GAS5,0.168,10
skin melanoma,CCDC26,0.156,11
skin melanoma,GNAS-AS1,0.15,12
skin melanoma,LINC00474,0.148,13
skin melanoma,AFAP1-AS1,0.146,14
skin melanoma,DANCR,0.146,15
skin melanoma,LINC00163,0.12,16
skin melanoma,NEAT1,0.096,17
skin melanoma,DLEU2,0.096,18
skin melanoma,GSTT1-AS1,0.092,19
skin melanoma,MIR100HG,0.092,20
skin melanoma,LINC01556,0.07,21
skin melanoma,BANCR,0.064,22
skin melanoma,PCGEM1,0.062,23
skin melanoma,HYMAI,0.06,24
skin melanoma,LINC00299,0.056,25
skin melanoma,BCYRN1,0.054,26
skin melanoma,LINC00675,0.054,27
skin melanoma,IGF2-AS,0.048,28
skin melanoma,HULC,0.044,29
skin melanoma,WT1-AS,0.044,30
metal metabolism disorder,MALAT1,0.816,1
metal metabolism disorder,CDKN2B-AS1,0.814,2
metal metabolism disorder,KCNQ1OT1,0.77,3
metal metabolism disorder,MEG3,0.726,4
metal metabolism disorder,HOTAIR,0.692,5
metal metabolism disorder,MIR17HG,0.634,6
metal metabolism disorder,PVT1,0.634,7
metal metabolism disorder,LINC00474,0.544,8
metal metabolism disorder,GAS5,0.506,9
metal metabolism disorder,LINC01556,0.49,10
metal metabolism disorder,NEAT1,0.436,11
metal metabolism disorder,ESRG,0.406,12
metal metabolism disorder,XIST,0.402,13
metal metabolism disorder,GSTT1-AS1,0.368,14
metal metabolism disorder,SNHG11,0.36,15
metal metabolism disorder,HCP5,0.352,16
metal metabolism disorder,PCA3,0.348,17
metal metabolism disorder,TP53COR1,0.332,18
metal metabolism disorder,AFAP1-AS1,0.332,19
metal metabolism disorder,IL12A-AS1,0.316,20
metal metabolism disorder,MIF-AS1,0.31,21
metal metabolism disorder,MIAT,0.308,22
metal metabolism disorder,MIR155HG,0.306,23
metal metabolism disorder,DANCR,0.3,24
metal metabolism disorder,LINC00163,0.274,25
metal metabolism disorder,LINCMD1,0.268,26
metal metabolism disorder,THRIL,0.268,27
metal metabolism disorder,HYMAI,0.256,28
metal metabolism disorder,RMST,0.254,29
metal metabolism disorder,BANCR,0.244,30
autosomal dominant polycystic kidney disease,CDKN2B-AS1,0.696,1
autosomal dominant polycystic kidney disease,H19,0.668,2
autosomal dominant polycystic kidney disease,GAS5,0.63,3
autosomal dominant polycystic kidney disease,PVT1,0.59,4
autosomal dominant polycystic kidney disease,KCNQ1OT1,0.566,5
autosomal dominant polycystic kidney disease,MALAT1,0.566,6
autosomal dominant polycystic kidney disease,MEG3,0.544,7
autosomal dominant polycystic kidney disease,HOTAIR,0.538,8
autosomal dominant polycystic kidney disease,HCP5,0.484,9
autosomal dominant polycystic kidney disease,XIST,0.448,10
autosomal dominant polycystic kidney disease,MIR155HG,0.412,11
autosomal dominant polycystic kidney disease,ESRG,0.374,12
autosomal dominant polycystic kidney disease,NEAT1,0.366,13
autosomal dominant polycystic kidney disease,PCA3,0.312,14
autosomal dominant polycystic kidney disease,BANCR,0.308,15
autosomal dominant polycystic kidney disease,TP53COR1,0.306,16
autosomal dominant polycystic kidney disease,HULC,0.3,17
autosomal dominant polycystic kidney disease,AFAP1-AS1,0.29,18
autosomal dominant polycystic kidney disease,MIAT,0.288,19
autosomal dominant polycystic kidney disease,ATXN8OS,0.274,20
autosomal dominant polycystic kidney disease,LINCMD1,0.268,21
autosomal dominant polycystic kidney disease,GSTT1-AS1,0.258,22
autosomal dominant polycystic kidney disease,TUG1,0.228,23
autosomal dominant polycystic kidney disease,DLEU2,0.21,24
autosomal dominant polycystic kidney disease,DISC2,0.204,25
autosomal dominant polycystic kidney disease,DANCR,0.198,26
autosomal dominant polycystic kidney disease,LINC00675,0.192,27
autosomal dominant polycystic kidney disease,MIF-AS1,0.184,28
autosomal dominant polycystic kidney disease,BCYRN1,0.182,29
autosomal dominant polycystic kidney disease,THRIL,0.17,30
narcolepsy,LINC00299,0.658,1
narcolepsy,GSTT1-AS1,0.598,2
narcolepsy,MIF-AS1,0.582,3
narcolepsy,TP53TG1,0.534,4
narcolepsy,THRIL,0.534,5
narcolepsy,GNAS-AS1,0.47,6
narcolepsy,PWAR4,0.444,7
narcolepsy,IL12A-AS1,0.434,8
narcolepsy,DAOA-AS1,0.314,9
narcolepsy,IFNG-AS1,0.308,10
narcolepsy,DANCR,0.308,11
narcolepsy,MCHR2-AS1,0.308,12
narcolepsy,SNHG11,0.306,13
narcolepsy,LINC01556,0.3,14
narcolepsy,NRON,0.294,15
narcolepsy,XIST,0.292,16
narcolepsy,MESTIT1,0.288,17
narcolepsy,DISC2,0.284,18
narcolepsy,PCA3,0.274,19
narcolepsy,LINC00474,0.27,20
narcolepsy,CCDC26,0.27,21
narcolepsy,HLA-F-AS1,0.262,22
narcolepsy,LINCMD1,0.258,23
narcolepsy,DSCR10,0.252,24
narcolepsy,MIR137HG,0.252,25
narcolepsy,HYMAI,0.248,26
narcolepsy,RMST,0.244,27
narcolepsy,LINC01080,0.242,28
narcolepsy,HCG9,0.216,29
narcolepsy,DLEU2,0.216,30
polycythemia vera,CDKN2B-AS1,0.72,1
polycythemia vera,HOTAIR,0.43,2
polycythemia vera,MEG3,0.382,3
polycythemia vera,MALAT1,0.326,4
polycythemia vera,KCNQ1OT1,0.294,5
polycythemia vera,MIR17HG,0.28,6
polycythemia vera,PVT1,0.254,7
polycythemia vera,XIST,0.216,8
polycythemia vera,PCA3,0.182,9
polycythemia vera,GAS5,0.172,10
polycythemia vera,CCDC26,0.16,11
polycythemia vera,LINC00474,0.158,12
polycythemia vera,AFAP1-AS1,0.156,13
polycythemia vera,GNAS-AS1,0.154,14
polycythemia vera,DANCR,0.15,15
polycythemia vera,LINC00163,0.124,16
polycythemia vera,NEAT1,0.106,17
polycythemia vera,GSTT1-AS1,0.098,18
polycythemia vera,DLEU2,0.096,19
polycythemia vera,MIR100HG,0.094,20
polycythemia vera,LINC01556,0.086,21
polycythemia vera,BANCR,0.066,22
polycythemia vera,HYMAI,0.066,23
polycythemia vera,PCGEM1,0.066,24
polycythemia vera,LINC00675,0.06,25
polycythemia vera,LINC00299,0.058,26
polycythemia vera,BCYRN1,0.056,27
polycythemia vera,IGF2-AS,0.056,28
polycythemia vera,HULC,0.052,29
polycythemia vera,WT1-AS,0.05,30
parotid gland cancer,XIST,0.572,1
parotid gland cancer,ATXN8OS,0.488,2
parotid gland cancer,MIR100HG,0.392,3
parotid gland cancer,DANCR,0.378,4
parotid gland cancer,CDKN2A-AS1,0.37,5
parotid gland cancer,LINCMD1,0.368,6
parotid gland cancer,PISRT1,0.352,7
parotid gland cancer,DISC2,0.352,8
parotid gland cancer,THRIL,0.352,9
parotid gland cancer,PCA3,0.35,10
parotid gland cancer,MIAT,0.33,11
parotid gland cancer,AFAP1-AS1,0.328,12
parotid gland cancer,GSTT1-AS1,0.324,13
parotid gland cancer,IFNG-AS1,0.322,14
parotid gland cancer,ESRG,0.318,15
parotid gland cancer,TP53COR1,0.308,16
parotid gland cancer,MIF-AS1,0.304,17
parotid gland cancer,LINC00163,0.298,18
parotid gland cancer,LINC01080,0.296,19
parotid gland cancer,LINC00299,0.29,20
parotid gland cancer,PVT1,0.288,21
parotid gland cancer,MCHR2-AS1,0.276,22
parotid gland cancer,CDKN2B-AS1,0.272,23
parotid gland cancer,IL12A-AS1,0.27,24
parotid gland cancer,DAOA-AS1,0.268,25
parotid gland cancer,TP53TG1,0.266,26
parotid gland cancer,PWAR4,0.26,27
parotid gland cancer,CCDC26,0.258,28
parotid gland cancer,H19,0.258,29
parotid gland cancer,GNAS-AS1,0.256,30
systemic lupus erythematosus,MIR17HG,0.844,1
systemic lupus erythematosus,CDKN2B-AS1,0.77,2
systemic lupus erythematosus,PVT1,0.76,3
systemic lupus erythematosus,HOTAIR,0.714,4
systemic lupus erythematosus,MALAT1,0.714,5
systemic lupus erythematosus,H19,0.712,6
systemic lupus erythematosus,KCNQ1OT1,0.682,7
systemic lupus erythematosus,MEG3,0.618,8
systemic lupus erythematosus,ESRG,0.528,9
systemic lupus erythematosus,MIR155HG,0.522,10
systemic lupus erythematosus,NEAT1,0.484,11
systemic lupus erythematosus,PCA3,0.462,12
systemic lupus erythematosus,LINCMD1,0.434,13
systemic lupus erythematosus,ATXN8OS,0.424,14
systemic lupus erythematosus,TP53COR1,0.418,15
systemic lupus erythematosus,AFAP1-AS1,0.418,16
systemic lupus erythematosus,NRON,0.402,17
systemic lupus erythematosus,THRIL,0.398,18
systemic lupus erythematosus,HULC,0.388,19
systemic lupus erythematosus,BANCR,0.374,20
systemic lupus erythematosus,TUG1,0.356,21
systemic lupus erythematosus,XIST,0.34,22
systemic lupus erythematosus,DISC2,0.34,23
systemic lupus erythematosus,GSTT1-AS1,0.326,24
systemic lupus erythematosus,DANCR,0.316,25
systemic lupus erythematosus,LINC00675,0.312,26
systemic lupus erythematosus,MIF-AS1,0.276,27
systemic lupus erythematosus,BCYRN1,0.27,28
systemic lupus erythematosus,CDKN2A-AS1,0.26,29
systemic lupus erythematosus,IGF2-AS,0.254,30
acute myeloid leukemia,MALAT1,0.966,1
acute myeloid leukemia,H19,0.95,2
acute myeloid leukemia,CDKN2B-AS1,0.924,3
acute myeloid leukemia,XIST,0.882,4
acute myeloid leukemia,GAS5,0.868,5
acute myeloid leukemia,CCAT2,0.854,6
acute myeloid leukemia,TUG1,0.84,7
acute myeloid leukemia,KCNQ1OT1,0.822,8
acute myeloid leukemia,SPRY4-IT1,0.788,9
acute myeloid leukemia,BANCR,0.784,10
acute myeloid leukemia,TP53COR1,0.72,11
acute myeloid leukemia,TUSC7,0.698,12
acute myeloid leukemia,DLEU2,0.698,13
acute myeloid leukemia,HULC,0.688,14
acute myeloid leukemia,SNHG4,0.684,15
acute myeloid leukemia,MIR99AHG,0.682,16
acute myeloid leukemia,BCYRN1,0.678,17
acute myeloid leukemia,MIR100HG,0.678,18
acute myeloid leukemia,MIR155HG,0.658,19
acute myeloid leukemia,HOTTIP,0.652,20
acute myeloid leukemia,IGF2-AS,0.636,21
acute myeloid leukemia,HNF1A-AS1,0.614,22
acute myeloid leukemia,LSINCT5,0.6,23
acute myeloid leukemia,GHET1,0.582,24
acute myeloid leukemia,LINC00675,0.582,25
acute myeloid leukemia,AFAP1-AS1,0.54,26
acute myeloid leukemia,NPTN-IT1,0.54,27
acute myeloid leukemia,ESRG,0.536,28
acute myeloid leukemia,CRNDE,0.522,29
acute myeloid leukemia,PCAT1,0.486,30
amyloidosis,PVT1,0.664,1
amyloidosis,CDKN2B-AS1,0.654,2
amyloidosis,MEG3,0.622,3
amyloidosis,MIR17HG,0.612,4
amyloidosis,MALAT1,0.61,5
amyloidosis,H19,0.598,6
amyloidosis,KCNQ1OT1,0.582,7
amyloidosis,HCP5,0.536,8
amyloidosis,ESRG,0.516,9
amyloidosis,GAS5,0.51,10
amyloidosis,IGF2-AS,0.504,11
amyloidosis,NEAT1,0.494,12
amyloidosis,HOTAIR,0.494,13
amyloidosis,RMST,0.476,14
amyloidosis,LINCMD1,0.472,15
amyloidosis,XIST,0.46,16
amyloidosis,TP53COR1,0.444,17
amyloidosis,MIAT,0.444,18
amyloidosis,DISC2,0.42,19
amyloidosis,DANCR,0.418,20
amyloidosis,ATXN8OS,0.418,21
amyloidosis,CTBP1-AS,0.412,22
amyloidosis,LINC00474,0.384,23
amyloidosis,THRIL,0.382,24
amyloidosis,HULC,0.376,25
amyloidosis,LINC01556,0.356,26
amyloidosis,HYMAI,0.348,27
amyloidosis,MCHR2-AS1,0.348,28
amyloidosis,MIR155HG,0.33,29
amyloidosis,TP53TG1,0.322,30
Barrett's esophagus,KCNQ1OT1,0.602,1
Barrett's esophagus,XIST,0.568,2
Barrett's esophagus,H19,0.506,3
Barrett's esophagus,HCP5,0.504,4
Barrett's esophagus,PVT1,0.5,5
Barrett's esophagus,MIR17HG,0.494,6
Barrett's esophagus,MALAT1,0.49,7
Barrett's esophagus,CDKN2B-AS1,0.488,8
Barrett's esophagus,MEG3,0.486,9
Barrett's esophagus,DANCR,0.464,10
Barrett's esophagus,HOTAIR,0.456,11
Barrett's esophagus,ESRG,0.444,12
Barrett's esophagus,NEAT1,0.44,13
Barrett's esophagus,LINC00675,0.436,14
Barrett's esophagus,HOTTIP,0.43,15
Barrett's esophagus,LINCMD1,0.428,16
Barrett's esophagus,GAS5,0.426,17
Barrett's esophagus,TP53COR1,0.424,18
Barrett's esophagus,HULC,0.42,19
Barrett's esophagus,ATXN8OS,0.41,20
Barrett's esophagus,PCA3,0.4,21
Barrett's esophagus,GSTT1-AS1,0.4,22
Barrett's esophagus,MIAT,0.396,23
Barrett's esophagus,MIF-AS1,0.356,24
Barrett's esophagus,THRIL,0.354,25
Barrett's esophagus,BANCR,0.348,26
Barrett's esophagus,DISC2,0.344,27
Barrett's esophagus,MIR155HG,0.322,28
Barrett's esophagus,BCYRN1,0.298,29
Barrett's esophagus,IL12A-AS1,0.294,30
amino acid metabolic disorder,CDKN2B-AS1,0.72,1
amino acid metabolic disorder,HOTAIR,0.41,2
amino acid metabolic disorder,MEG3,0.344,3
amino acid metabolic disorder,KCNQ1OT1,0.272,4
amino acid metabolic disorder,MIR17HG,0.27,5
amino acid metabolic disorder,MALAT1,0.26,6
amino acid metabolic disorder,PVT1,0.228,7
amino acid metabolic disorder,XIST,0.212,8
amino acid metabolic disorder,PCA3,0.174,9
amino acid metabolic disorder,GAS5,0.168,10
amino acid metabolic disorder,CCDC26,0.156,11
amino acid metabolic disorder,GNAS-AS1,0.15,12
amino acid metabolic disorder,LINC00474,0.148,13
amino acid metabolic disorder,AFAP1-AS1,0.146,14
amino acid metabolic disorder,DANCR,0.146,15
amino acid metabolic disorder,LINC00163,0.12,16
amino acid metabolic disorder,NEAT1,0.096,17
amino acid metabolic disorder,DLEU2,0.096,18
amino acid metabolic disorder,GSTT1-AS1,0.092,19
amino acid metabolic disorder,MIR100HG,0.092,20
amino acid metabolic disorder,LINC01556,0.07,21
amino acid metabolic disorder,BANCR,0.064,22
amino acid metabolic disorder,PCGEM1,0.062,23
amino acid metabolic disorder,HYMAI,0.06,24
amino acid metabolic disorder,LINC00299,0.056,25
amino acid metabolic disorder,BCYRN1,0.054,26
amino acid metabolic disorder,LINC00675,0.054,27
amino acid metabolic disorder,IGF2-AS,0.048,28
amino acid metabolic disorder,HULC,0.044,29
amino acid metabolic disorder,WT1-AS,0.044,30
gastrointestinal stromal tumor,MALAT1,0.886,1
gastrointestinal stromal tumor,H19,0.868,2
gastrointestinal stromal tumor,CDKN2B-AS1,0.752,3
gastrointestinal stromal tumor,MEG3,0.736,4
gastrointestinal stromal tumor,MIR17HG,0.656,5
gastrointestinal stromal tumor,PVT1,0.586,6
gastrointestinal stromal tumor,GAS5,0.52,7
gastrointestinal stromal tumor,KCNQ1OT1,0.514,8
gastrointestinal stromal tumor,NEAT1,0.4,9
gastrointestinal stromal tumor,XIST,0.354,10
gastrointestinal stromal tumor,HCP5,0.312,11
gastrointestinal stromal tumor,AFAP1-AS1,0.29,12
gastrointestinal stromal tumor,PCA3,0.284,13
gastrointestinal stromal tumor,HULC,0.272,14
gastrointestinal stromal tumor,DANCR,0.26,15
gastrointestinal stromal tumor,BANCR,0.232,16
gastrointestinal stromal tumor,ESRG,0.216,17
gastrointestinal stromal tumor,RMST,0.212,18
gastrointestinal stromal tumor,EWSAT1,0.202,19
gastrointestinal stromal tumor,CCDC26,0.202,20
gastrointestinal stromal tumor,BCYRN1,0.188,21
gastrointestinal stromal tumor,HOTTIP,0.184,22
